timestamp_ms,channel,sample_0,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11
1771936199512,AF8,49.8047,37.5977,10.7422,15.6250,37.5977,38.0859,21.9727,31.2500,62.5000,51.7578,29.2969,38.5742
1771936199513,TP9,1.4648,29.7852,65.4297,30.2734,-3.4180,22.4609,67.3828,49.8047,0.4883,-4.8828,49.3164,67.3828
1771936199513,AF7,73.7305,35.6445,5.3711,16.6016,38.0859,46.8750,43.9453,45.4102,57.1289,50.7813,42.4805,43.4570
1771936199572,TP10,-3.4180,-31.2500,11.2305,50.2930,-0.4883,-35.6445,1.9531,41.9922,1.4648,-49.3164,-36.6211,28.8086
1771936199572,AF8,54.6875,55.6641,39.5508,35.6445,73.7305,92.7734,55.1758,25.3906,31.7383,43.9453,34.6680,31.2500
1771936199573,TP9,8.7891,-14.1602,28.3203,69.3359,27.3438,-17.0898,14.6484,54.6875,26.3672,-13.1836,-8.7891,51.7578
1771936199573,AF7,51.2695,58.5938,48.3398,41.9922,59.5703,72.2656,58.1055,31.2500,34.6680,53.7109,38.0859,28.8086
1771936199603,TP10,13.1836,-52.7344,-45.4102,21.9727,46.8750,-1.4648,-26.3672,23.9258,54.1992,2.4414,-20.9961,12.6953
1771936199603,AF8,48.8281,55.6641,42.4805,26.8555,32.7148,58.1055,53.7109,32.7148,29.2969,46.8750,51.7578,27.3438
1771936199604,TP9,45.8984,-12.2070,-7.3242,45.8984,66.8945,20.5078,-2.4414,45.8984,78.6133,28.3203,3.4180,34.6680
1771936199605,AF7,48.3398,50.7813,37.1094,25.8789,28.3203,50.2930,55.6641,38.5742,29.7852,48.8281,56.1523,36.6211
1771936199647,TP10,57.1289,17.0898,-25.8789,3.9063,66.8945,65.4297,3.4180,-2.9297,65.9180,75.6836,15.1367,-5.3711
1771936199647,AF8,23.4375,41.9922,41.0156,41.9922,41.9922,47.3633,42.4805,33.2031,39.5508,29.7852,27.3438,51.2695
1771936199648,TP9,94.2383,71.7773,16.6016,38.5742,102.5391,104.0039,41.5039,27.3438,92.2852,104.9805,43.4570,30.7617
1771936199648,AF7,31.2500,36.6211,45.4102,50.7813,45.8984,57.6172,54.1992,41.9922,41.9922,37.5977,41.9922,58.5938
1771936199692,TP10,50.7813,96.1914,40.5273,-4.8828,27.8320,86.4258,48.8281,7.8125,31.7383,76.6602,75.6836,18.0664
1771936199692,AF8,45.4102,8.7891,22.4609,40.5273,30.2734,20.0195,26.3672,58.1055,58.1055,18.0664,20.9961,39.0625
1771936199693,TP9,79.5898,111.3281,66.8945,26.3672,45.4102,94.2383,62.5000,27.3438,48.3398,89.3555,90.8203,29.7852
1771936199693,AF7,56.6406,34.6680,40.0391,54.6875,42.4805,32.7148,44.9219,62.5000,67.8711,37.5977,29.2969,51.2695
1771936199736,TP10,20.0195,58.5938,67.3828,20.9961,-0.4883,58.1055,103.5156,49.8047,4.3945,39.0625,99.6094,76.1719
1771936199737,AF8,40.5273,32.2266,32.7148,37.1094,27.8320,20.0195,11.2305,23.9258,36.1328,32.2266,27.8320,38.0859
1771936199738,TP9,11.2305,54.1992,86.9141,29.2969,-3.4180,49.3164,96.1914,61.5234,18.5547,37.5977,97.1680,85.4492
1771936199738,AF7,50.2930,22.9492,18.0664,41.5039,51.2695,38.5742,25.8789,38.5742,54.1992,53.2227,34.1797,36.6211
1771936199782,TP10,18.5547,14.6484,66.4063,62.5000,1.4648,13.6719,68.8477,79.1016,30.2734,9.7656,58.5938,103.0273
1771936199783,AF8,44.9219,30.2734,15.6250,14.1602,27.8320,43.9453,30.7617,12.6953,34.6680,50.7813,29.7852,13.1836
1771936199783,TP9,29.2969,21.4844,71.2891,74.2188,21.4844,16.1133,64.9414,89.8438,42.4805,19.5313,52.2461,93.7500
1771936199784,AF7,54.6875,41.9922,14.1602,14.1602,32.2266,40.0391,32.7148,25.8789,44.9219,60.5469,51.2695,26.3672
1771936199828,TP10,45.8984,6.8359,41.0156,89.8438,63.9648,20.9961,20.0195,60.5469,74.7070,16.6016,-0.9766,47.8516
1771936199828,AF8,19.5313,34.1797,30.2734,17.0898,18.0664,36.1328,41.0156,24.4141,27.3438,42.9688,45.8984,24.9023
1771936199829,TP9,50.2930,9.7656,38.5742,89.3555,70.8008,24.9023,23.4375,65.9180,82.0313,25.3906,2.4414,45.8984
1771936199830,AF7,13.1836,30.7617,38.0859,31.7383,41.9922,57.1289,48.3398,27.8320,34.6680,46.8750,39.5508,22.4609
1771936199872,TP10,79.5898,30.7617,0.4883,22.9492,55.1758,31.2500,-4.3945,17.0898,73.2422,59.0820,-2.9297,-3.4180
